Year,Deaths,Cases,Summary Interval,N,Median Obs,Median Rel,Observed,Expected,Relative,SE Obs,SE Rel,Obs Cum CIs Lower,Obs Cum CIs Upper,Rel Cum CIs Lower,Rel Cum CIs Upper,Specified COD,Other CODs,SE Specified COD,SE Other CODs,Specified COD Cum CI Lower,Specified COD Cum CI Upper,Other CODs Cum CI Lower,Other CODs Cum CI Upper,interval,b,a
0,4860,92925,0,90898,37.65,.,96.276,99.081,97.170,0.064,0.064,96.149,96.399,97.041,97.293,2.817,0.906,0.064,0.000,2.694,2.945,0.906,0.907,1,0.00918999999999997,0.0280500000000001
0,4860,92925,1,90898,37.65,.,94.798,98.233,96.503,0.076,0.077,94.648,94.944,96.349,96.651,3.475,1.727,0.076,0.001,3.327,3.627,1.726,1.729,2,0.01767,0.03435
0,4860,92925,2,90898,37.65,.,93.641,97.366,96.174,0.084,0.086,93.475,93.803,96.001,96.339,3.797,2.562,0.085,0.002,3.632,3.966,2.559,2.565,3,0.02634,0.0372499999999999
0,4860,92925,3,90898,37.65,.,92.450,96.471,95.831,0.092,0.095,92.267,92.628,95.640,96.014,4.129,3.421,0.094,0.002,3.947,4.316,3.417,3.426,4,0.03529,0.04021
0,4860,92925,4,90898,37.65,.,91.266,95.547,95.519,0.100,0.104,91.068,91.459,95.310,95.719,4.429,4.305,0.103,0.003,4.231,4.633,4.299,4.311,5,0.04453,0.0428099999999999
0,4860,92925,5,90898,37.65,.,90.165,94.599,95.313,0.107,0.113,89.953,90.373,95.086,95.529,4.625,5.210,0.110,0.004,4.412,4.845,5.202,5.218,6,0.05401,0.04434
0,4860,92925,6,90898,37.65,.,89.028,93.626,95.089,0.114,0.122,88.802,89.250,94.844,95.322,4.836,6.136,0.119,0.005,4.607,5.072,6.126,6.146,7,0.06374,0.04598
0,4860,92925,7,90898,37.65,.,87.897,92.634,94.887,0.121,0.131,87.657,88.133,94.624,95.137,5.024,7.079,0.127,0.006,4.780,5.276,7.067,7.091,8,0.07366,0.04737
0,4860,92925,8,90898,37.65,.,86.764,91.618,94.702,0.129,0.140,86.510,87.014,94.420,94.970,5.194,8.042,0.135,0.007,4.935,5.463,8.028,8.056,9,0.0838200000000001,0.04854
0,4860,92925,9,90898,37.65,.,85.574,90.580,94.473,0.136,0.150,85.304,85.838,94.171,94.760,5.402,9.024,0.143,0.009,5.126,5.688,9.007,9.041,10,0.0942,0.05006
0,4860,92925,10,90898,37.65,.,84.441,89.523,94.323,0.143,0.160,84.158,84.720,94.000,94.629,5.538,10.021,0.152,0.010,5.245,5.841,10.002,10.041,11,0.10477,0.0508199999999999
0,4860,92925,11,90898,37.65,.,83.291,88.452,94.165,0.151,0.171,82.993,83.585,93.822,94.491,5.678,11.031,0.161,0.011,5.369,5.998,11.008,11.053,12,0.11548,0.05161
0,4860,92925,12,90898,37.65,.,82.144,87.365,94.024,0.158,0.181,81.831,82.453,93.658,94.369,5.802,12.053,0.169,0.013,5.476,6.141,12.028,12.079,13,0.12635,0.0522099999999999
0,4860,92925,13,90898,37.65,.,80.949,86.260,93.843,0.166,0.193,80.621,81.273,93.454,94.211,5.959,13.092,0.179,0.015,5.615,6.316,13.063,13.121,14,0.1374,0.0531100000000001
0,4860,92925,14,90898,37.65,.,79.688,85.138,93.599,0.175,0.205,79.343,80.029,93.184,93.990,6.169,14.143,0.189,0.017,5.806,6.546,14.111,14.176,15,0.14862,0.0545
0,4860,92925,15,90898,37.65,.,78.498,83.996,93.454,0.183,0.218,78.136,78.854,93.013,93.868,6.291,15.211,0.199,0.019,5.910,6.688,15.175,15.248,16,0.16004,0.0549799999999999
0,4860,92925,16,90898,37.65,.,77.385,82.834,93.422,0.191,0.230,77.008,77.756,92.955,93.859,6.318,16.297,0.208,0.021,5.919,6.734,16.257,16.338,17,0.17166,0.05449
0,4860,92925,17,90898,37.65,.,76.117,81.652,93.222,0.200,0.245,75.723,76.506,92.725,93.685,6.483,17.400,0.219,0.023,6.063,6.920,17.355,17.445,18,0.18348,0.05535
0,4860,92925,18,90898,37.65,.,74.934,80.449,93.144,0.208,0.259,74.523,75.339,92.618,93.634,6.545,18.521,0.229,0.025,6.106,7.004,18.471,18.571,19,0.19551,0.05515
0,4860,92925,19,90898,37.65,.,73.846,79.218,93.144,0.216,0.259,73.419,74.267,92.618,93.634,6.545,19.609,0.239,0.028,6.087,7.025,19.554,19.664,20,0.20782,0.05372
0,4860,92925,20,90898,37.65,.,72.732,77.965,93.144,0.225,0.259,72.289,73.170,92.618,93.634,6.545,20.722,0.250,0.031,6.067,7.047,20.662,20.783,21,0.22035,0.05233
0,4860,92925,21,90898,37.65,.,71.434,76.689,93.144,0.235,0.259,70.971,71.891,92.618,93.634,6.545,22.021,0.262,0.034,6.044,7.072,21.954,22.087,22,0.23311,0.05255
0,4860,92925,22,90898,37.65,.,70.116,75.389,93.005,0.245,0.325,69.633,70.593,92.339,93.614,6.649,23.236,0.275,0.037,6.123,7.202,23.163,23.308,23,0.24611,0.05273
0,4860,92925,23,90898,37.65,.,68.812,74.066,92.907,0.255,0.345,68.309,69.310,92.199,93.552,6.722,24.466,0.288,0.041,6.171,7.302,24.386,24.546,24,0.25934,0.0525400000000001
0,4860,92925,24,90898,37.65,.,67.448,72.734,92.733,0.266,0.366,66.923,67.967,91.980,93.418,6.850,25.702,0.302,0.044,6.273,7.458,25.615,25.789,25,0.27266,0.05286
0,4860,92925,25,90898,37.65,.,66.296,71.378,92.733,0.276,0.366,65.751,66.834,91.980,93.418,6.850,26.855,0.315,0.048,6.249,7.485,26.760,26.950,26,0.28622,0.0508199999999999
0,4860,92925,26,90898,37.65,.,64.912,69.989,92.733,0.288,0.366,64.344,65.474,91.980,93.418,6.850,28.238,0.331,0.053,6.220,7.517,28.135,28.341,27,0.30011,0.05077
0,4860,92925,27,90898,37.65,.,63.595,68.594,92.712,0.300,0.438,63.004,64.180,91.804,93.523,6.861,29.543,0.346,0.057,6.204,7.561,29.431,29.656,28,0.31406,0.04999
0,4860,92925,28,90898,37.65,.,62.236,67.188,92.630,0.313,0.466,61.619,62.846,91.660,93.490,6.918,30.847,0.363,0.062,6.229,7.652,30.725,30.968,29,0.32812,0.0495200000000001
0,4860,92925,29,90898,37.65,.,60.734,65.744,92.379,0.328,0.498,60.088,61.373,91.340,93.299,7.084,32.182,0.381,0.067,6.361,7.856,32.050,32.314,30,0.34256,0.0501
0,4860,92925,30,90898,37.65,.,59.417,64.309,92.379,0.341,0.498,58.744,60.082,91.340,93.299,7.084,33.500,0.400,0.073,6.328,7.894,33.356,33.643,31,0.35691,0.04892
0,4860,92925,31,90898,37.65,.,58.107,62.889,92.379,0.356,0.498,57.406,58.802,91.340,93.299,7.084,34.809,0.419,0.079,6.293,7.934,34.654,34.963,32,0.37111,0.04782
